INFO  - 2024-01-28 21:51:52.907; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-28 21:51:52.926; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-28 21:58:41.291; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-28 21:58:41.299; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-28 22:01:37.752; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-28 22:01:37.767; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 14:17:59.721; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 14:17:59.730; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 14:18:35.562; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 361
INFO  - 2024-01-29 14:21:17.478; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 14:21:17.493; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 14:21:59.080; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 361
INFO  - 2024-01-29 14:22:01.431; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:43:55.872; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 17:43:55.886; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 17:44:34.617; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 360
INFO  - 2024-01-29 17:44:34.994; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:1
INFO  - 2024-01-29 17:46:44.456; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 17:46:44.477; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 17:47:03.794; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 17:47:03.803; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 17:47:42.408; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 364
INFO  - 2024-01-29 17:47:46.371; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:47:53.932; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:48:19.472; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:48:54.790; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:51:38.215; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 17:51:38.228; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 17:52:18.575; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 360
INFO  - 2024-01-29 17:52:31.944; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:349
INFO  - 2024-01-29 17:52:32.318; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:52:32.369; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:52:32.398; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:52:32.487; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:52:34.550; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:52:47.061; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:53:01.489; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:53:06.007; com.flipkart.pageObjects.FlipkartAddCartPage; Get title >> Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:56:54.998; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-29 17:56:55.010; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-29 17:57:27.111; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-29 17:57:27.611; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 360
INFO  - 2024-01-29 17:57:31.229; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:348
INFO  - 2024-01-29 17:57:31.244; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/the-gift-card-store?link=home_giftcard
INFO  - 2024-01-29 17:57:31.784; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/wet-grinders/pr?sid=j9e,m38,htd&otracker=undefined_footer
INFO  - 2024-01-29 17:57:31.928; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/q/bata-shoes?otracker=undefined_footer
INFO  - 2024-01-29 17:57:31.988; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/mattresses/pr?sid=wwe,rg9&otracker=undefined_footer
INFO  - 2024-01-29 17:57:32.031; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/beds/pr?sid=wwe,7p7&otracker=undefined_footer
INFO  - 2024-01-29 17:57:32.089; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/account/rewards?link=home_rewards
INFO  - 2024-01-29 17:57:32.167; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/furniture/dining-tables-sets/pr?sid=wwe,ur9&otracker=undefined_footer
